SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-7-2020,Single Family Residential,6400 NW Cornell Rd,Portland,OR,97210,445000,4,2.0,"Portland West, Raleigh Hills",2180,88862,1936,13,204,,Sold,,,http://www.redfin.com/OR/Portland/6400-NW-Cornell-Rd-97210/home/26429710,RMLS,20371578,N,Y,45.5343558,-122.7442923
PAST SALE,July-24-2020,Single Family Residential,4703 NW Woodside Ter,Portland,OR,97210,1300000,3,2.5,Pittock Acres-Kings Hill,2389,20037,1952,27,544,,Sold,,,http://www.redfin.com/OR/Portland/4703-NW-Woodside-Ter-97210/home/25831269,RMLS,20065874,N,Y,45.5200206,-122.7254325
PAST SALE,August-13-2020,Single Family Residential,145 NW Pittock Ave,Portland,OR,97210,931000,4,5.5,"Portland West, Raleigh Hills",3457,15245,1997,7,269,,Sold,,,http://www.redfin.com/OR/Portland/145-NW-Pittock-Ave-97210/home/26553276,RMLS,20229072,N,Y,45.5217233,-122.7215948
PAST SALE,July-17-2020,Single Family Residential,2205 NW Johnson St,Portland,OR,97210,1735000,4,4.5,NW Flats / ALPHABET DISTRICT,5037,5662,1907,34,344,,Sold,,,http://www.redfin.com/OR/Portland/2205-NW-Johnson-St-97210/home/26485480,RMLS,20298019,N,Y,45.5286202,-122.6967282
PAST SALE,June-5-2020,Single Family Residential,529 NW 21st Ave,Portland,OR,97209,595000,5,3.0,HISTORIC ALPHABET DISTRICT,2891,2613,1900,76,206,,Sold,,,http://www.redfin.com/OR/Portland/529-NW-21st-Ave-97209/home/26568674,RMLS,20587810,N,Y,45.526758,-122.6949185
PAST SALE,March-20-2020,Single Family Residential,2858 NW Santanita Ter,Portland,OR,97210,730000,4,2.5,NW Kings Heights,2714,9147,1929,153,269,,Sold,,,http://www.redfin.com/OR/Portland/2858-NW-Santanita-Ter-97210/home/25864636,RMLS,20566123,N,Y,45.5239131,-122.7095469
PAST SALE,July-13-2020,Single Family Residential,2889 NW Thurman St,Portland,OR,97210,610000,2,1.0,NW Portland/Willamette Heights,1163,,1952,38,525,,Sold,,,http://www.redfin.com/OR/Portland/2889-NW-Thurman-St-97210/home/26509420,RMLS,20105176,N,Y,45.5354164,-122.7107813
PAST SALE,May-14-2020,Single Family Residential,2915 NW Luray Ter,Portland,OR,97210,1550000,5,3.5,WESTOVER TERRACES,4233,10454,1932,98,366,,Sold,,,http://www.redfin.com/OR/Portland/2915-NW-Luray-Ter-97210/home/26434421,RMLS,20431026,N,Y,45.5303867,-122.7112065
PAST SALE,June-26-2020,Single Family Residential,2825 NW Raleigh St,Portland,OR,97210,1530000,4,4.0,"Portland West, Raleigh Hills",3566,4791,1917,55,429,,Sold,,,http://www.redfin.com/OR/Portland/2825-NW-Raleigh-St-97210/home/26657143,RMLS,20355904,N,Y,45.5340547,-122.709387
PAST SALE,July-16-2020,Single Family Residential,2820 NW Cornell Rd,Portland,OR,97210,1375000,5,4.0,"Portland West, Raleigh Hills",3838,7405,1925,35,358,,Sold,,,http://www.redfin.com/OR/Portland/2820-NW-Cornell-Rd-97210/home/26369195,RMLS,20476982,N,Y,45.532752,-122.7093464
PAST SALE,July-2-2020,Single Family Residential,3101 NW Vaughn St,Portland,OR,97210,555000,3,1.5,"Portland West, Raleigh Hills",2675,4791,1907,49,207,,Sold,,,http://www.redfin.com/OR/Portland/3101-NW-Vaughn-St-97210/home/26369308,RMLS,20426610,N,Y,45.5368111,-122.7138337
PAST SALE,July-1-2020,Single Family Residential,2891 NW Cumberland Rd,Portland,OR,97210,995000,3,3.0,"Portland West, Raleigh Hills",3218,5227,1939,50,309,,Sold,,,http://www.redfin.com/OR/Portland/2891-NW-Cumberland-Rd-97210/home/26609386,RMLS,20029543,N,Y,45.5291612,-122.710413
PAST SALE,July-27-2020,Single Family Residential,800 NW Powhatan Ter,Portland,OR,97210,1398000,4,4.5,KING'S HEIGHTS,5425,18730,1956,24,258,,Sold,,,http://www.redfin.com/OR/Portland/800-NW-Powhatan-Ter-97210/home/26502470,RMLS,19450787,N,Y,45.5282667,-122.7121747
PAST SALE,July-27-2020,Single Family Residential,2448 NW Johnson St,Portland,OR,97210,1467000,5,2.5,"NOB HILL,  NW FLATS",5014,4791,1904,24,293,,Sold,,,http://www.redfin.com/OR/Portland/2448-NW-Johnson-St-97210/home/26538521,RMLS,20515089,N,Y,45.528119,-122.7016208
